,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
267,2012-04,436000.0,240000.0,869000.0,370000.0,512000.0,4639.639639639639,3227.9411764705883,9112.90322580645,4174.757281553398,5089.55223880597
268,2012-05,440000.0,240000.0,895000.0,376644.0,523000.0,4684.684684684685,3130.081300813008,8800.0,4230.384615384615,5163.51752822341
269,2012-06,443000.0,209000.0,900000.0,370000.0,522000.0,4668.9655172413795,3126.6666666666665,9293.827160493827,4220.689655172414,5119.565217391304
270,2012-07,442800.0,225000.0,1000000.0,376000.0,522000.0,4689.6551724137935,3222.222222222222,8800.0,4245.822890559733,5171.0526315789475
271,2012-08,450000.0,232500.0,988888.0,384694.0,530000.0,4760.0,3181.818181818182,8720.93023255814,4276.827657075749,5232.572115384615
272,2012-09,455000.0,215500.0,980000.0,385000.0,533000.0,4782.182103610676,3414.6341463414633,9397.590361445784,4300.524475524476,5270.637485311398
273,2012-10,457000.0,247000.0,1010000.0,388000.0,540000.0,4836.363636363636,2375.0,9117.64705882353,4375.0,5294.117647058823
274,2012-11,456000.0,235000.0,970000.0,387500.0,545000.0,4820.895522388059,3442.622950819672,10410.25641025641,4385.245901639344,5316.357775987108
275,2012-12,458000.0,251000.0,943999.0,386000.0,537888.0,4818.88,3330.5785123966944,9276.315789473685,4344.827586206897,5337.8378378378375
276,2013-01,460000.0,240000.0,950000.0,383000.0,543000.0,4857.142857142857,3401.6393442622953,9000.0,4375.0,5409.090909090909
277,2013-02,452000.0,255000.0,880000.0,373566.0,545000.0,4953.897180762852,3463.4146341463415,9187.5,4423.076923076923,5449.679487179487
278,2013-03,455000.0,260000.0,930000.0,380000.0,545000.0,4946.211683053789,3545.0819672131147,9058.823529411764,4459.594594594594,5477.469824789098
279,2013-04,470000.0,242000.0,1020000.0,395000.0,560000.0,4923.076923076923,3413.223140495868,9250.0,4470.411055988661,5450.904109589041
280,2013-05,463000.0,208000.0,1000000.0,383500.0,555000.0,4958.904109589041,3413.793103448276,9250.0,4494.38202247191,5524.752475247525
281,2013-06,458000.0,230000.0,928000.0,380000.0,540000.0,4940.298507462687,3483.6065573770493,8858.823529411764,4426.829268292683,5432.4324324324325
282,2013-07,460000.0,248000.0,961000.0,385000.0,545250.0,4866.961651917404,3059.7014925373132,9533.333333333334,4441.3198103266595,5362.648221343874
283,2013-08,458888.5,257000.0,980000.0,382000.0,549500.0,4923.076923076923,3278.688524590164,9583.333333333334,4420.1555944055945,5419.816165143267
284,2013-09,450000.0,230000.0,950000.0,375750.0,545000.0,4879.024390243902,3470.5882352941176,9500.0,4428.571428571428,5353.991596638655
285,2013-10,448000.0,230500.0,960000.0,367500.0,538500.0,4835.6164383561645,3239.43661971831,9166.666666666666,4336.323411102172,5395.964583860359
286,2013-11,442000.0,240000.0,1050000.0,366000.0,528000.0,4794.520547945205,3347.8260869565215,9666.666666666666,4311.111111111111,5306.451612903225
287,2013-12,440000.0,240000.0,983000.0,367750.0,531916.0,4810.661764705883,3342.4657534246576,8700.0,4336.633663366337,5357.142857142857
288,2014-01,435000.0,235000.0,980000.0,358200.0,508000.0,4764.514024787997,3171.6417910447763,9166.666666666666,4307.896890343699,5259.66735966736
289,2014-02,425000.0,233000.0,888000.0,355000.0,515000.0,4684.931506849315,3333.3333333333335,8833.333333333334,4268.552390906716,5161.538461538462
290,2014-03,430000.0,240000.0,980000.0,356000.0,509000.0,4720.411775074916,3255.813953488372,9076.08695652174,4286.775106082037,5200.675675675676
291,2014-04,425000.0,242000.0,956000.0,356000.0,513000.0,4687.5,3264.4628099173556,9235.29411764706,4263.565891472868,5264.705882352941
292,2014-05,420000.0,235000.0,980000.0,360000.0,507500.0,4647.058823529412,3113.2075471698113,9451.219512195123,4183.544735406438,5124.534931789996
293,2014-06,420000.0,210000.0,930000.0,350000.0,505000.0,4590.5511811023625,3278.688524590164,9333.333333333334,4150.943396226415,5166.666666666667
294,2014-07,414400.0,213000.0,950000.0,350000.0,500000.0,4552.905117270789,3278.688524590164,8717.64705882353,4148.287493513233,5064.360246322272
295,2014-08,420000.0,245000.0,960000.0,355000.0,503000.0,4478.260869565217,3074.074074074074,9000.0,4067.3076923076924,5050.0
296,2014-09,410000.0,210000.0,900000.0,350000.0,488000.0,4462.365591397849,3083.3333333333335,8658.823529411764,3997.8070175438597,5044.776119402985
297,2014-10,417000.0,195000.0,1088888.0,350000.0,495000.0,4438.396019564851,3097.7443609022557,8866.666666666666,4000.0,4979.18407960199
298,2014-11,408000.0,210000.0,980000.0,341500.0,488500.0,4402.985074626866,3099.1735537190084,9166.666666666666,3986.801242236025,4939.327485380117
299,2014-12,410000.0,200000.0,1000000.0,345000.0,490000.0,4384.9002849002845,3055.1181102362207,9473.684210526315,3965.8123167155427,4939.893903974105
300,2015-01,415000.0,210000.0,980000.0,345000.0,500000.0,4359.719737626714,2801.8867924528304,9845.360824742267,3951.8049155145927,4954.6254576175725
301,2015-02,405000.0,220000.0,1040000.0,348000.0,488000.0,4328.358208955224,2686.5671641791046,10215.053763440861,3920.39603960396,4897.509003601441
302,2015-03,403000.0,210000.0,1060000.0,337750.0,489850.0,4342.204670329671,2932.3308270676694,9684.21052631579,3925.212646445193,4912.471395881006
303,2015-04,406000.0,208000.0,1060000.0,340000.0,485000.0,4338.235294117647,2886.1788617886177,9906.542056074766,3894.230769230769,4945.054945054945
304,2015-05,410000.0,200000.0,998000.0,343000.0,500000.0,4297.2972972972975,2823.3333333333335,10216.666666666666,3875.293101320499,4849.615558570782
305,2015-06,405000.0,225000.0,975000.0,335000.0,488000.0,4373.007842145206,2807.0175438596493,10052.083333333334,3919.9584199584197,4892.0568561872915
306,2015-07,405000.0,215000.0,940000.0,345000.0,477000.0,4264.705882352941,2980.769230769231,9763.440860215054,3842.2796825137057,4842.5099206349205
307,2015-08,403000.0,200000.0,1050000.0,340000.0,490000.0,4298.7555555555555,2868.8524590163934,10191.421686746988,3888.8888888888887,4880.952380952381
308,2015-09,405500.0,200000.0,1000000.0,343500.0,492000.0,4259.858630952381,2926.829268292683,10645.161290322581,3849.6302906680266,4877.714667557634
309,2015-10,400000.0,200000.0,950000.0,338000.0,478250.0,4280.233009708738,2868.8524590163934,10000.0,3861.6879980680997,4858.1349206349205
310,2015-11,408000.0,195000.0,1088000.0,346000.0,500000.0,4285.714285714285,2755.9055118110236,10168.224299065421,3884.89010989011,4911.011904761905
311,2015-12,410000.0,220000.0,1018000.0,340000.0,502250.0,4291.608391608392,2817.4603174603176,9858.064516129032,3879.626168224299,4920.285359801488
312,2016-01,400000.0,202000.0,1068888.0,338000.0,490000.0,4272.727272727273,2875.0,9897.111111111111,3860.5696202531644,4832.2797619047615
313,2016-02,405500.0,200000.0,988000.0,335000.0,501250.0,4290.998217468806,2835.820895522388,10291.666666666666,3842.470760233918,4846.736596736597
314,2016-03,410000.0,215000.0,1050000.0,340500.0,505500.0,4307.692307692308,3027.5229357798166,10215.053763440861,3867.368584437086,4924.32211313698
315,2016-04,410000.0,205000.0,980000.0,345972.0,489916.0,4275.875190258752,2941.176470588235,9574.468085106382,3837.104109589041,4913.881043984611
316,2016-05,414000.0,200000.0,1063888.0,352000.0,500000.0,4272.727272727273,2878.048780487805,10036.67924528302,3835.4615384615386,4866.666666666667
317,2016-06,408000.0,218000.0,1070000.0,340000.0,495000.0,4281.910447761194,2788.4615384615386,10000.0,3873.9232383068,4877.295995182174
318,2016-07,416750.0,208000.0,1040000.0,340000.0,505000.0,4363.636363636364,2939.3939393939395,9904.761904761905,3920.733333333333,4929.941719281204
319,2016-08,403000.0,215000.0,1100000.0,338000.0,488000.0,4307.692307692308,2868.8524590163934,10190.47619047619,3827.661752661753,4921.815889029003
320,2016-09,410000.0,215000.0,1120000.0,340000.0,507250.0,4296.01706970128,2890.625,10566.037735849057,3885.9456217512993,4892.759094028826
321,2016-10,408500.0,210000.0,1038000.0,340000.0,485000.0,4307.692307692308,2868.8524590163934,8947.368421052632,3845.467032967033,4898.476282404854
322,2016-11,410000.0,198000.0,1100000.0,340000.0,516250.0,4280.9068266727045,2866.6666666666665,10377.358490566037,3846.153846153846,4919.125395152792
323,2016-12,410000.0,190000.0,1150000.0,338000.0,495000.0,4314.3790849673205,2822.5806451612902,9777.768421052631,3806.858564321251,4976.408281174771
