,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
3520,2001-12,low,3 ROOM,140000.0,73000.0,240000.0,127200.0,160000.0,2058.823529411765,1171.4285714285713,3101.6949152542375,1889.7058823529412,2234.375
3521,2001-12,low,4 ROOM,215000.0,105000.0,398000.0,198300.0,246750.0,2238.095238095238,889.8305084745763,3688.6792452830186,2004.6296296296296,2447.7907667921536
3522,2001-12,low,5 ROOM,313000.0,230000.0,484000.0,279000.0,349750.0,2530.691056910569,1869.918699186992,3683.3333333333335,2296.514727442356,2834.077380952381
3523,2001-12,low,EXECUTIVE,410000.0,331000.0,620000.0,375000.0,456500.0,2710.3758169934645,2168.6746987951806,4366.197183098591,2517.4642313546424,3069.2492439067782
3524,2001-12,mid,1 ROOM,42000.0,42000.0,42000.0,42000.0,42000.0,1448.2758620689656,1448.2758620689656,1448.2758620689656,1448.2758620689656,1448.2758620689656
3525,2001-12,mid,2 ROOM,67000.0,65000.0,99000.0,66000.0,81000.0,1723.404255319149,1444.4444444444443,1970.5882352941176,1650.0,1867.9245283018868
3526,2001-12,mid,3 ROOM,143750.0,77000.0,233800.0,130000.0,162125.0,2104.4776119402986,1305.084745762712,3384.6153846153848,1931.0366003438958,2290.562036055143
3527,2001-12,mid,4 ROOM,223000.0,135000.0,385000.0,203000.0,250000.0,2258.064516129032,1478.2608695652175,3666.6666666666665,2069.6948682385573,2497.5728155339802
3528,2001-12,mid,5 ROOM,321000.0,209000.0,503000.0,285000.0,357000.0,2558.9256198347107,1787.4015748031495,4157.024793388429,2334.676298971937,2932.377049180328
3529,2001-12,mid,EXECUTIVE,430400.0,320000.0,610000.0,395250.0,472000.0,3028.788321167883,2237.762237762238,4075.3424657534247,2751.0295212106175,3204.1666666666665
3530,2001-12,very low,1 ROOM,38000.0,38000.0,38000.0,38000.0,38000.0,1357.142857142857,1357.142857142857,1357.142857142857,1357.142857142857,1357.142857142857
3531,2001-12,very low,2 ROOM,64250.0,62000.0,70000.0,62375.0,67000.0,1396.7391304347825,1347.8260869565217,1521.7391304347825,1355.9782608695652,1456.5217391304348
3532,2001-12,very low,3 ROOM,134000.0,69000.0,472000.0,118000.0,148000.0,1945.2054794520548,1125.0,4783.1325301204815,1787.858312858313,2165.4228855721394
3533,2001-12,very low,4 ROOM,210000.0,145000.0,362000.0,194000.0,244000.0,2194.4444444444443,1538.4615384615386,3480.769230769231,1971.1538461538462,2420.0
3534,2001-12,very low,5 ROOM,305000.0,200000.0,405000.0,275000.0,329000.0,2459.0163934426228,1544.1176470588234,3352.9411764705883,2258.196721311476,2645.7740120841727
3535,2001-12,very low,EXECUTIVE,410000.0,333000.0,501000.0,380000.0,445000.0,2770.2702702702704,2220.0,3472.222222222222,2603.4531963470317,3072.3488839927195
3536,2002-01,high,1 ROOM,41000.0,41000.0,41000.0,41000.0,41000.0,1322.5806451612902,1322.5806451612902,1322.5806451612902,1322.5806451612902,1322.5806451612902
3537,2002-01,high,2 ROOM,91000.0,62300.0,96000.0,73000.0,94750.0,2022.2222222222222,1511.111111111111,2133.3333333333335,1863.1535947712418,2105.5555555555557
3538,2002-01,high,3 ROOM,144000.0,85000.0,240000.0,130000.0,164000.0,2122.9419703103913,1307.6923076923076,3179.10447761194,1948.2654296087132,2345.407907907908
